Title,Language,Genres,Rating,Premiered,Status
Bones,English,"Drama, Crime, Medical",8.1,2005-09-13,Ended
The Big Bang Theory,English,Comedy,8.0,2007-09-24,Ended
Grey's Anatomy,English,"Drama, Romance, Medical",7.6,2005-03-27,Running
Castle,English,"Drama, Crime",8.2,2009-03-09,Ended
The Blacklist,English,"Drama, Crime, Thriller",8.1,2013-09-23,Ended
The Voice,English,Music,5.8,2011-04-26,Running
Dancing with the Stars,English,Family,6.4,2005-06-01,To Be Determined
NCIS: Los Angeles,English,"Drama, Action, Crime",7.9,2009-09-22,Ended
The Walking Dead,English,"Drama, Action, Horror",7.9,2010-10-31,Ended
Hell on Wheels,English,"Drama, Action, Western",8.2,2011-11-06,Ended
The Mindy Project,English,"Comedy, Romance, Medical",7.0,2012-09-25,Ended
Sons of Anarchy,English,"Drama, Action, Crime",8.3,2008-09-03,Ended
The Middle,English,"Comedy, Family",8.0,2009-09-30,Ended
The Mysteries of Laura,English,"Comedy, Crime, Mystery",7.3,2014-09-17,Ended
The Goldbergs,English,"Comedy, Family",7.5,2013-09-24,Ended
Modern Family,English,"Comedy, Family",7.7,2009-09-23,Ended
Criminal Minds,English,"Drama, Crime, Thriller",8.1,2005-09-22,Running
Game of Thrones,English,"Drama, Adventure, Fantasy",8.9,2011-04-17,Ended
The Simpsons,English,"Comedy, Family",8.1,1989-12-17,Running
Family Guy,English,"Comedy, Family",7.5,1999-01-31,Running
Stalker,English,"Crime, Thriller",7.5,2014-10-01,Ended
The Bridge,English,"Drama, Crime, Thriller",7.5,2013-07-10,Ended
Reign,English,"Drama, Romance, History",7.6,2013-10-17,Ended
Unforgettable,English,"Drama, Crime",7.5,2011-09-20,Ended
Haven,English,"Drama, Crime, Supernatural",8.0,2010-07-09,Ended
Bad Judge,English,"Comedy, Family",7.4,2014-10-02,Ended
A to Z,English,"Comedy, Romance",6.7,2014-10-02,Ended
Parenthood,English,"Drama, Comedy, Family",8.0,2010-03-02,Ended
Defiance,English,"Action, Adventure, Science-Fiction",7.8,2013-04-15,Ended
Falling Skies,English,"Drama, Action, Science-Fiction",7.6,2011-06-19,Ended
Manhattan Love Story,English,"Comedy, Romance",5.4,2014-09-30,Ended
The Biggest Loser,English,,6.0,2004-10-19,Ended
Scandal,English,"Drama, Thriller",7.8,2012-04-05,Ended
America's Next Top Model,English,,5.5,2003-05-20,Ended
Blue Bloods,English,"Drama, Crime",8.1,2010-09-24,Ended
The Good Wife,English,"Drama, Crime, Legal",8.1,2009-09-22,Ended
Boardwalk Empire,English,"Drama, Crime",8.3,2010-09-19,Ended
Law & Order: Special Victims Unit,English,"Drama, Crime, Legal",7.9,1999-09-20,Running
Dominion,English,"Action, Adventure, Fantasy",7.2,2014-06-19,Ended
From Dusk Till Dawn: The Series,English,"Action, Crime, Horror",6.5,2014-03-11,Ended
Justified,English,"Drama, Crime, Western",8.7,2010-03-16,Ended
Bob's Burgers,English,"Comedy, Family",7.9,2011-01-09,Running
Mulaney,English,"Comedy, Family",6.0,2014-10-05,Ended
CSI: Crime Scene Investigation,English,"Drama, Action, Crime",8.1,2000-10-06,Ended
Gracepoint,English,"Drama, Crime, Mystery",7.5,2014-10-02,Ended
Once Upon a Time,English,"Drama, Fantasy, Romance",7.5,2011-10-23,Ended
South Park,English,Comedy,8.2,1997-08-13,Running
Survivor,English,Adventure,7.3,2000-05-31,Running
King of the Hill,English,Comedy,7.6,1997-01-12,Running
The Mentalist,English,"Drama, Crime, Mystery",8.2,2008-09-23,Ended
Star Wars: Rebels,English,"Action, Adventure, Science-Fiction",7.9,2014-09-29,Ended
House,English,"Drama, Mystery, Medical",8.8,2004-11-16,Ended
Transparent,English,"Drama, Comedy",7.3,2014-09-26,Ended
Nikita,English,"Drama, Action, Crime",7.8,2010-09-09,Ended
Lost,English,"Drama, Adventure, Supernatural",8.2,2004-09-22,Ended
2 Broke Girls,English,Comedy,7.2,2011-09-19,Ended
Selfie,English,"Comedy, Romance",7.1,2014-09-30,Ended
Mom,English,"Comedy, Family",7.6,2013-09-23,Ended
The Affair,English,"Drama, Romance",7.7,2014-10-12,Ended
Jane the Virgin,English,"Drama, Crime, Romance",7.3,2014-10-13,Ended
Marry Me,English,Comedy,5.4,2014-10-14,Ended
Two and a Half Men,English,Comedy,6.6,2003-09-22,Ended
About a Boy,English,"Drama, Comedy, Romance",6.5,2014-02-22,Ended
The Millers,English,Comedy,6.2,2013-10-03,Ended
Elementary,English,"Drama, Crime, Mystery",8.3,2012-09-27,Ended
Heroes,English,"Drama, Action, Science-Fiction",7.7,2006-09-25,Ended
The McCarthys,English,"Comedy, Family",6.8,2014-10-30,Ended
Cristela,English,"Comedy, Legal",7.0,2014-10-10,Ended
The Leftovers,English,"Drama, Science-Fiction, Thriller",8.0,2014-06-29,Ended
Girls,English,"Drama, Romance",6.4,2012-04-15,Ended
Looking,English,"Drama, Comedy, Romance",7.2,2014-01-19,Ended
Getting On,English,"Comedy, Medical",6.9,2013-11-24,Ended
Veep,English,Comedy,7.8,2012-04-22,Ended
Silicon Valley,English,Comedy,8.4,2014-04-06,Ended
The Comeback,English,Comedy,7.9,2005-06-05,Running
House of Lies,English,"Drama, Comedy",7.9,2012-01-08,Ended
Episodes,English,Comedy,7.8,2011-01-09,Ended
Nurse Jackie,English,"Drama, Comedy",7.8,2009-06-08,Ended
Web Therapy,English,Comedy,7.1,2011-07-19,Ended
Masters of Sex,English,"Drama, Romance, History",7.3,2013-09-29,Ended
Shameless,English,"Drama, Comedy, Family",8.5,2011-01-09,Ended
The Newsroom,English,Drama,8.4,2012-06-24,Ended
Ray Donovan,English,"Drama, Action, Crime",8.1,2013-06-30,Ended
Utopia,English,,,2014-09-07,Ended
Sanctuary,English,"Drama, Adventure, Science-Fiction",8.0,2008-10-03,Ended
Beauty & the Beast,English,"Action, Romance, Science-Fiction",7.3,2012-10-11,Ended
Twin Peaks,English,"Crime, Mystery, Supernatural",8.0,1990-04-08,Ended
The Americans,English,"Drama, Espionage",8.5,2013-01-30,Ended
Fringe,English,"Drama, Action, Science-Fiction",8.6,2008-09-09,Ended
State of Affairs,English,"Drama, Thriller",6.5,2014-11-17,Ended
Weeds,English,"Drama, Comedy, Crime",7.9,2005-08-07,Ended
Dexter,English,"Drama, Crime, Mystery",8.4,2006-10-01,Ended
Carnivàle,English,"Drama, Fantasy, Horror",8.0,2003-09-14,Ended
Human Target,English,"Action, Adventure, Crime",8.0,2010-01-17,Ended
Banshee,English,"Drama, Action, Crime",8.6,2013-01-11,Ended
Bionic Woman,English,"Action, Science-Fiction",6.4,2007-09-26,Ended
Battlestar Galactica,English,"Drama, Science-Fiction, War",8.7,2003-12-08,Ended
24,English,"Drama, Action, Thriller",8.3,2001-11-06,Ended
Chuck,English,"Drama, Comedy, Action",8.2,2007-09-24,Ended
Breaking Bad,English,"Drama, Crime, Thriller",9.2,2008-01-20,Ended
Orange Is the New Black,English,"Drama, Comedy, Crime",7.9,2013-07-11,Ended
How I Met Your Mother,English,"Drama, Comedy, Romance",7.9,2005-09-19,Ended
Suits,English,"Drama, Legal",8.1,2011-06-23,Ended
Parks and Recreation,English,Comedy,8.2,2009-04-09,Ended
House of Cards,English,"Drama, Thriller",8.2,2013-02-01,Ended
Teen Wolf,English,"Drama, Romance, Supernatural",8.1,2011-06-05,Ended
Pretty Little Liars,English,"Romance, Thriller, Mystery",7.4,2010-06-08,Ended
The Legend of Korra,English,"Action, Adventure, Fantasy",8.1,2012-04-14,Ended
The Wire,English,"Drama, Crime",8.8,2002-06-02,Ended
Firefly,English,"Drama, Adventure, Science-Fiction",8.9,2002-09-20,Ended
Extant,English,"Drama, Science-Fiction, Thriller",7.3,2014-07-09,Ended
Black Sails,English,"Drama, Action, Adventure",8.4,2014-01-25,Ended
Tyrant,English,"Drama, Thriller",7.8,2014-06-24,Ended
BoJack Horseman,English,"Drama, Comedy",7.9,2014-08-22,Ended
Salem,English,"Drama, Thriller, Supernatural",6.9,2014-04-20,Ended
TURN: Washington's Spies,English,"Drama, War",7.9,2014-04-06,Ended
Intelligence,English,"Action, Science-Fiction",6.6,2014-01-07,Ended
Believe,English,"Drama, Action, Fantasy",7.3,2014-03-10,Ended
Star-Crossed,English,"Drama, Romance, Science-Fiction",6.9,2014-02-17,Ended
Crisis,English,"Drama, Action, Thriller",7.1,2014-03-16,Ended
Halt and Catch Fire,English,Drama,8.1,2014-06-01,Ended
Hello Ladies,English,Comedy,6.5,2013-09-29,Ended
Dads,English,Comedy,5.1,2013-09-17,Ended
Hannibal,English,"Drama, Crime, Horror",8.2,2013-04-04,Ended
Bates Motel,English,"Drama, Horror, Thriller",8.0,2013-03-18,Ended
The Following,English,"Drama, Crime, Thriller",6.9,2013-01-21,Ended
Da Vinci's Demons,English,"Drama, Horror",8.0,2013-04-12,Ended
The Fosters,English,"Drama, Family, Romance",7.5,2013-06-03,Ended
Mistresses,English,"Drama, Romance",7.6,2013-06-03,Ended
The Tomorrow People,English,"Action, Science-Fiction",7.3,2013-10-09,Ended
Devious Maids,English,"Drama, Crime, Mystery",7.6,2013-06-23,Ended
Almost Human,English,"Drama, Crime, Science-Fiction",7.7,2013-11-17,Ended
The Carrie Diaries,English,"Drama, Comedy, Romance",6.5,2013-01-14,Ended
Stargate SG·1,English,"Action, Adventure, Science-Fiction",8.8,1997-07-27,Ended
Graceland,English,"Drama, Action, Crime",7.3,2013-06-06,Ended
Stargate Atlantis,English,"Action, Adventure, Science-Fiction",8.8,2004-07-16,Ended
Stargate Universe,English,"Action, Adventure, Science-Fiction",8.2,2009-10-02,Ended
The Chair,English,,,2014-09-06,Ended
Survivor's Remorse,English,"Drama, Comedy, Sports",6.6,2014-10-04,Ended
Doctor Who,English,"Drama, Adventure, Science-Fiction",8.3,2005-03-26,Ended
666 Park Avenue,English,"Drama, Mystery, Supernatural",6.6,2012-09-30,Ended
Alcatraz,English,"Drama, Science-Fiction, Thriller",7.0,2012-01-16,Ended
The Gates,English,"Drama, Crime, Supernatural",7.2,2010-06-20,Ended
Kingdom,English,"Drama, Family, Sports",7.9,2014-10-08,Ended
American Dad!,English,"Comedy, Family",7.4,2005-02-06,Running
Rick and Morty,English,"Comedy, Adventure, Science-Fiction",8.8,2013-12-02,Running
Hostages,English,"Drama, Thriller",6.4,2013-09-23,Ended
Being Human,English,"Drama, Horror, Romance",7.5,2011-01-17,Ended
Alphas,English,"Drama, Science-Fiction, Supernatural",7.5,2011-07-11,Ended
Crossing Lines,English,"Drama, Action, Crime",7.6,2013-06-23,Ended
Rectify,English,"Drama, Crime",8.0,2013-04-22,Ended
Happyland,English,"Drama, Comedy",7.0,2014-09-30,Ended
Twisted,English,"Drama, Thriller, Mystery",7.3,2013-03-19,Ended
Ravenswood,English,"Drama, Horror",7.1,2013-10-22,Ended
The Crazy Ones,English,Comedy,7.1,2013-09-26,Ended
Mob City,English,"Drama, Crime",7.3,2013-12-04,Ended
Last Resort,English,"Drama, Action, War",7.3,2012-09-27,Ended
The Neighbors,English,"Comedy, Science-Fiction",6.9,2012-09-26,Ended
Go On,English,Comedy,7.2,2012-08-08,Ended
Vegas,English,Drama,7.9,2012-09-25,Ended
The River,English,"Drama, Horror, Supernatural",6.9,2012-02-07,Ended
Awake,English,"Drama, Fantasy, Thriller",7.4,2012-03-01,Ended
Missing,English,"Drama, Action, Thriller",7.0,2012-03-15,Ended
The New Normal,English,Comedy,7.1,2012-09-10,Ended
GCB,English,"Drama, Comedy, Romance",7.2,2012-03-04,Ended
Revolution,English,"Action, Adventure, Science-Fiction",7.6,2012-09-17,Ended
Dallas,English,"Drama, Family",6.5,2012-06-13,Ended
Anger Management,English,Comedy,6.4,2012-06-28,Ended
Cops,English,"Action, Crime",7.1,1989-03-11,Running
Benched,English,"Comedy, Legal",7.2,2014-10-28,Ended
The Great Fire,English,Drama,7.0,2014-10-16,Ended
Conan,English,Comedy,7.7,2010-11-08,Ended
Strange Empire,English,"Drama, Western",7.2,2014-10-06,Ended
Town of the Living Dead,English,,,2014-10-07,Ended
Long Shadow,English,"War, History",,2014-09-24,Ended
The Colbert Report,English,Comedy,7.2,2005-10-17,Ended
Transporter: The Series,English,"Action, Adventure, Crime",7.3,2013-01-04,Ended
The Daily Show with Jon Stewart,English,Comedy,8.0,1999-01-11,Ended
Kirby Buckets,English,Comedy,,2014-10-20,Ended
Downton Abbey,English,"Drama, Family, Romance",8.7,2010-09-26,Ended
Girl Meets World,English,"Drama, Comedy, Family",7.7,2014-06-27,Ended
Hell's Kitchen,English,Food,6.8,2005-05-30,To Be Determined
World Series of Poker,English,Sports,7.8,2006-08-22,Running
Anthony Bourdain: Parts Unknown,English,"Food, Travel",7.7,2013-04-14,Ended
Comic Book Men,English,Comedy,7.4,2012-02-12,Ended
Key & Peele,English,Comedy,7.5,2012-01-31,Ended
Glue,English,Drama,7.7,2014-09-15,Ended
Southern Justice,English,Crime,,2014-04-15,Ended
Tosh.0,English,Comedy,6.2,2009-06-04,Ended
The Soup,English,Comedy,4.5,2004-07-30,Ended
The Driver,English,"Drama, Crime",6.9,2014-09-23,Ended
Last Week Tonight with John Oliver,English,Comedy,7.9,2014-04-27,Running
The Late Show with David Letterman,English,Comedy,7.4,1993-08-30,Ended
Mount Pleasant,English,"Drama, Comedy",,2011-08-24,Ended
Lovesick,English,"Comedy, Romance",7.3,2014-10-02,Ended
Package Deal,English,Comedy,6.2,2013-06-18,Ended
Peaky Blinders,English,"Drama, Crime, History",8.5,2013-09-12,Ended
The League,English,"Comedy, Sports",7.6,2009-10-29,Ended
Saving Hope,English,"Drama, Fantasy, Medical",7.8,2012-06-07,Ended
Talking Dead,English,,6.2,2011-10-17,To Be Determined
Black Dynamite,English,"Comedy, Action",8.0,2012-07-15,Ended
Bad Education,English,Comedy,6.5,2012-08-14,To Be Determined
Ali G: Rezurection,English,Comedy,6.0,2014-02-26,Ended
New Tricks,English,"Drama, Comedy, Crime",7.8,2004-04-01,Ended
Brickleberry,English,Comedy,7.7,2012-09-25,Ended
Face Off,English,,8.0,2011-01-26,Ended
Real Time with Bill Maher,English,,5.3,2003-02-21,Running
Franklin & Bash,English,"Drama, Comedy, Legal",7.0,2011-06-01,Ended
Mock the Week,English,Comedy,7.5,2005-06-05,Ended
Awkward.,English,"Drama, Comedy, Romance",7.3,2011-07-19,Ended
Faking It,English,"Comedy, Romance",7.5,2014-04-22,Ended
Mr. Selfridge,English,Drama,7.6,2013-01-06,Ended
"Signed, Sealed, Delivered",English,"Romance, Mystery",7.8,2013-10-12,To Be Determined
Happy Valley,English,"Drama, Crime",8.0,2014-04-29,Ended
Kroll Show,English,Comedy,,2013-01-16,Ended
American Idol,English,Music,5.1,2002-06-11,Running
America's Got Talent,English,Music,5.7,2006-06-21,Running
Adventure Time,English,"Comedy, Adventure, Fantasy",7.8,2008-12-07,Ended
Motive,English,"Drama, Crime, Mystery",7.8,2013-02-03,Ended
The NEW Celebrity Apprentice,English,,4.5,2008-01-03,Ended
Newswipe,English,Comedy,,2009-03-25,Ended
The Night Shift,English,"Drama, Action, Medical",8.0,2014-05-27,Ended
Top Chef,English,Food,7.4,2006-03-08,Running
Top Gear,English,,5.3,2010-11-21,Ended
Undateable,English,"Comedy, Romance",7.8,2014-05-29,Ended
Chasing Life,English,"Drama, Romance, Medical",7.8,2014-06-10,Ended
Power,English,"Drama, Crime",7.9,2014-06-07,Ended
Murder in the First,English,"Drama, Crime, Mystery",7.8,2014-06-09,Ended
Hart of Dixie,English,"Drama, Comedy, Romance",7.8,2011-09-26,Ended
Trailer Park Boys,English,"Comedy, Crime",7.6,2001-04-22,Running
Deadbeat,English,"Comedy, Supernatural",6.7,2014-04-09,Ended
The Venture Bros.,English,"Comedy, Adventure",8.2,2003-02-16,Ended
Black Mirror,English,"Drama, Science-Fiction, Thriller",8.4,2011-12-04,Running
Broadchurch,English,"Drama, Crime, Mystery",8.4,2013-03-04,Ended
Bluestone 42,English,"Drama, Comedy, War",7.1,2013-03-05,Ended
Matador,English,"Drama, Action",6.9,2014-07-15,Ended
Rogue,English,"Action, Crime",7.6,2013-04-03,Ended
Married,English,"Drama, Comedy, Romance",5.1,2014-07-17,Ended
Satisfaction,English,"Drama, Comedy, Romance",7.6,2014-07-17,Ended
You're the Worst,English,"Drama, Comedy, Romance",7.7,2014-07-17,Ended
Plebs,English,Comedy,7.3,2013-03-25,Ended
VICE,English,"Drama, Crime",7.6,2013-04-05,Ended
Archer,English,"Comedy, Action, Espionage",8.3,2009-09-17,Ended
The Missing,English,"Drama, Crime, Thriller",8.0,2014-10-28,Ended
Vicious,English,Comedy,8.0,2013-04-29,Ended
Community,English,Comedy,8.3,2009-09-17,Ended
Cougar Town,English,Comedy,7.4,2009-09-23,Ended
The Fall,English,"Drama, Crime, Thriller",8.0,2013-05-13,Ended
Arrested Development,English,"Comedy, Family",8.2,2003-11-02,Ended
Hit the Floor,English,"Drama, Romance, Sports",7.2,2013-05-27,Ended
White Collar,English,"Drama, Comedy, Crime",8.2,2009-10-23,Ended
MasterChef,English,Food,6.8,2010-07-27,Running
Being Mary Jane,English,"Drama, Family",7.8,2013-07-02,Ended
Undercover Boss,English,,6.1,2010-02-07,Ended
Inside Amy Schumer,English,Comedy,5.6,2013-04-30,Ended
Midsomer Murders,English,"Drama, Crime, Mystery",7.9,1998-03-22,Running
Shark Tank,English,,6.7,2009-08-09,Running
On the Menu,English,Food,,2014-10-03,Ended
Deal With It,English,,,2013-07-17,Ended
Alpha House,English,"Drama, Comedy",7.1,2013-04-19,Ended
The Game,English,"Drama, Comedy, Sports",,2006-10-01,Ended
Drunk History,English,"Comedy, History",6.2,2013-07-09,Ended
Sherlock,English,"Drama, Crime, Mystery",8.9,2010-07-25,Ended
Marvel's Agent Carter,English,"Action, Adventure, Science-Fiction",8.0,2015-01-06,Ended
Ramsay's Costa Del Nightmares,English,Food,6.7,2014-09-23,Ended
Secrets and Lies,English,"Drama, Crime, Thriller",7.4,2015-03-01,Ended
American Crime,English,"Drama, Crime",7.8,2015-03-05,Ended
The Librarians,English,"Action, Adventure, Supernatural",7.2,2014-12-07,Ended
Aquarius,English,"Drama, Crime",7.0,2015-05-28,Ended
Louie,English,"Drama, Comedy",7.9,2010-06-29,Ended
Atlantis,English,"Drama, Adventure, Fantasy",7.0,2013-09-28,Ended
Rizzoli & Isles,English,"Drama, Crime",8.0,2010-07-12,Ended
Covert Affairs,English,"Drama, Action, Crime",7.2,2010-07-13,Ended
Hot in Cleveland,English,Comedy,7.8,2010-06-16,Ended
It's Always Sunny in Philadelphia,English,Comedy,8.1,2005-08-04,Running
Melissa & Joey,English,"Comedy, Family",7.6,2010-08-17,Ended
The Wrong Mans,English,"Comedy, Crime, Thriller",7.7,2013-09-24,Ended
Last Comic Standing,English,Comedy,,2003-06-10,Ended
Baby Daddy,English,"Comedy, Family",7.8,2012-06-20,Ended
The Exes,English,Comedy,7.2,2011-11-30,Ended
Line of Duty,English,"Drama, Crime, Thriller",8.6,2012-06-26,Running
Ground Floor,English,Comedy,7.5,2013-11-14,Ended
Mike & Molly,English,"Comedy, Family",7.4,2010-09-20,Ended
Man Down,English,Comedy,8.0,2013-10-18,Ended
Perception,English,"Drama, Crime",7.8,2012-07-09,Ended
Spartacus: Gods of the Arena,English,"Drama, Action, History",8.4,2011-01-21,Ended
TripTank,English,Comedy,6.4,2014-04-02,Ended
Ripper Street,English,"Drama, Crime, Mystery",8.1,2012-12-30,Ended
Saturday Night Live,English,"Comedy, Music",6.0,1975-10-11,Running
Switched at Birth,English,"Drama, Family",7.7,2011-06-06,Ended
Late Night with Seth Meyers,English,Comedy,4.4,2014-02-24,Running
Single Ladies,English,"Drama, Romance",,2011-05-30,Ended
The After,English,"Drama, Science-Fiction, Mystery",7.7,2014-02-06,Ended
Sirens,English,Comedy,7.7,2014-03-06,Ended
Six Feet Under,English,"Drama, Comedy",8.1,2001-06-03,Ended
Red Dwarf,English,"Comedy, Science-Fiction",7.9,1988-02-15,Ended
Wizards vs Aliens,English,"Fantasy, Science-Fiction",7.5,2012-10-29,Ended
Workaholics,English,Comedy,7.3,2011-04-06,Ended
The Red Road,English,"Drama, Crime, Family",7.4,2014-02-27,Ended
See Dad Run,English,Comedy,5.8,2012-10-06,Ended
Moone Boy,English,Comedy,7.4,2012-09-14,Ended
Inside No. 9,English,"Comedy, Thriller, Supernatural",8.0,2014-02-05,Ended
Broad City,English,Comedy,8.0,2014-01-22,Ended
Portlandia,English,Comedy,6.9,2011-01-21,Ended
The Musketeers,English,"Drama, Action, Adventure",8.0,2014-01-19,Ended
Citizen Khan,English,"Comedy, Family",6.7,2012-08-27,Ended
Mythbusters,English,"Adventure, Nature, DIY",8.0,2003-01-23,Ended
Birds of a Feather,English,Comedy,7.3,1989-10-16,Ended
Aqua Teen Hunger Force,English,"Comedy, Action, Adventure",7.6,2000-12-30,Ended
Peep Show,English,Comedy,8.0,2003-09-19,Ended
Major Crimes,English,"Drama, Action, Crime",8.0,2012-08-13,Ended
Mad Men,English,Drama,8.1,2007-07-19,Ended
Yonderland,English,"Comedy, Fantasy",7.8,2013-11-10,Ended
Rookie Blue,English,"Drama, Action, Crime",7.5,2010-06-24,Ended
The Late Late Show with Craig Ferguson,English,Comedy,6.9,2005-01-03,Ended
Last Call with Carson Daly,English,,,2002-01-08,Ended
Life Is Toff,English,,,2014-10-28,Ended
Hunted,English,"Drama, Action, Thriller",8.0,2012-10-04,Ended
Video Game High School,English,"Comedy, Action, Science-Fiction",7.5,2012-05-11,Ended
Call the Midwife,English,"Drama, Medical",8.0,2012-01-15,Running
Longmire,English,"Drama, Thriller, Western",8.3,2012-06-03,Ended
Gravity Falls,English,"Adventure, Mystery, Supernatural",8.9,2012-06-15,Ended
Don't Trust the B---- in Apartment 23,English,Comedy,7.5,2012-04-11,Ended
Duck Dynasty,English,"Comedy, Adventure",5.8,2012-03-21,Ended
The Client List,English,"Drama, Romance",6.5,2012-04-08,Ended
Copper,English,"Drama, Crime",7.7,2012-08-19,Ended
Smash,English,Drama,7.9,2012-02-06,Ended
A Young Doctor's Notebook,English,"Drama, Comedy",7.5,2012-12-06,Ended
Touch,English,"Drama, Science-Fiction, Mystery",7.5,2012-01-25,Ended
Magic City,English,"Drama, Crime, Mystery",7.9,2012-03-30,Ended
Derek,English,"Drama, Comedy",8.0,2012-04-12,Ended
Men at Work,English,"Drama, Comedy",6.9,2012-05-24,Ended
Mortal Kombat: Legacy,English,"Action, Adventure, Fantasy",7.3,2011-04-12,Ended
Jane by Design,English,"Drama, Comedy",7.8,2012-01-03,Ended
Invader ZIM,English,Children,7.8,2001-03-30,Ended
Rival Survival,English,,,,Ended
The Cape,English,"Drama, Crime, Supernatural",6.5,2011-01-09,Ended
Fairly Legal,English,Drama,7.8,2011-01-20,Ended
Whitney,English,"Comedy, Romance",7.2,2011-09-22,Ended
Duckman: Private Dick/Family Man,English,"Comedy, Crime",7.4,1994-03-05,Ended
Olive Kitteridge,English,Drama,8.0,2014-11-02,Ended
Are You the One?,English,Romance,5.5,2014-01-21,Ended
