Title,Language,Genres,Rating,Premiered,Status,Rating_Percent,Release_Year,Show_Age,Popularity,Main_Genre
The Simpsons,English,"Comedy, Family",8.1,1989-12-17,Running,81.0,1989,37,High,Comedy
Family Guy,English,"Comedy, Family",7.5,1999-01-31,Running,75.0,1999,27,Medium,Comedy
Stalker,English,"Crime, Thriller",7.5,2014-10-01,Ended,75.0,2014,12,Medium,Crime
The Bridge,English,"Drama, Crime, Thriller",7.5,2013-07-10,Ended,75.0,2013,13,Medium,Drama
Reign,English,"Drama, Romance, History",7.6,2013-10-17,Ended,76.0,2013,13,Medium,Drama
Unforgettable,English,"Drama, Crime",7.5,2011-09-20,Ended,75.0,2011,15,Medium,Drama
Haven,English,"Drama, Crime, Supernatural",8.0,2010-07-09,Ended,80.0,2010,16,High,Drama
Bad Judge,English,"Comedy, Family",7.4,2014-10-02,Ended,74.0,2014,12,Medium,Comedy
A to Z,English,"Comedy, Romance",6.7,2014-10-02,Ended,67.0,2014,12,Medium,Comedy
Parenthood,English,"Drama, Comedy, Family",8.0,2010-03-02,Ended,80.0,2010,16,High,Drama
Defiance,English,"Action, Adventure, Science-Fiction",7.8,2013-04-15,Ended,78.0,2013,13,Medium,Action
Falling Skies,English,"Drama, Action, Science-Fiction",7.6,2011-06-19,Ended,76.0,2011,15,Medium,Drama
Manhattan Love Story,English,"Comedy, Romance",5.4,2014-09-30,Ended,54.0,2014,12,Low,Comedy
The Biggest Loser,English,Unknown,6.0,2004-10-19,Ended,60.0,2004,22,Medium,Unknown
Scandal,English,"Drama, Thriller",7.8,2012-04-05,Ended,78.0,2012,14,Medium,Drama
America's Next Top Model,English,Unknown,5.5,2003-05-20,Ended,55.0,2003,23,Low,Unknown
Blue Bloods,English,"Drama, Crime",8.1,2010-09-24,Ended,81.0,2010,16,High,Drama
The Good Wife,English,"Drama, Crime, Legal",8.1,2009-09-22,Ended,81.0,2009,17,High,Drama
Boardwalk Empire,English,"Drama, Crime",8.3,2010-09-19,Ended,83.0,2010,16,High,Drama
Law & Order: Special Victims Unit,English,"Drama, Crime, Legal",7.9,1999-09-20,Running,79.0,1999,27,Medium,Drama
Dominion,English,"Action, Adventure, Fantasy",7.2,2014-06-19,Ended,72.0,2014,12,Medium,Action
From Dusk Till Dawn: The Series,English,"Action, Crime, Horror",6.5,2014-03-11,Ended,65.0,2014,12,Medium,Action
Justified,English,"Drama, Crime, Western",8.7,2010-03-16,Ended,87.0,2010,16,High,Drama
Bob's Burgers,English,"Comedy, Family",7.9,2011-01-09,Running,79.0,2011,15,Medium,Comedy
Mulaney,English,"Comedy, Family",6.0,2014-10-05,Ended,60.0,2014,12,Medium,Comedy
CSI: Crime Scene Investigation,English,"Drama, Action, Crime",8.1,2000-10-06,Ended,81.0,2000,26,High,Drama
Gracepoint,English,"Drama, Crime, Mystery",7.5,2014-10-02,Ended,75.0,2014,12,Medium,Drama
Once Upon a Time,English,"Drama, Fantasy, Romance",7.5,2011-10-23,Ended,75.0,2011,15,Medium,Drama
South Park,English,Comedy,8.2,1997-08-13,Running,82.0,1997,29,High,Comedy
Survivor,English,Adventure,7.3,2000-05-31,Running,73.0,2000,26,Medium,Adventure
King of the Hill,English,Comedy,7.6,1997-01-12,Running,76.0,1997,29,Medium,Comedy
The Mentalist,English,"Drama, Crime, Mystery",8.2,2008-09-23,Ended,82.0,2008,18,High,Drama
Star Wars: Rebels,English,"Action, Adventure, Science-Fiction",7.9,2014-09-29,Ended,79.0,2014,12,Medium,Action
House,English,"Drama, Mystery, Medical",8.8,2004-11-16,Ended,88.0,2004,22,High,Drama
Transparent,English,"Drama, Comedy",7.3,2014-09-26,Ended,73.0,2014,12,Medium,Drama
Nikita,English,"Drama, Action, Crime",7.8,2010-09-09,Ended,78.0,2010,16,Medium,Drama
Lost,English,"Drama, Adventure, Supernatural",8.2,2004-09-22,Ended,82.0,2004,22,High,Drama
2 Broke Girls,English,Comedy,7.2,2011-09-19,Ended,72.0,2011,15,Medium,Comedy
Selfie,English,"Comedy, Romance",7.1,2014-09-30,Ended,71.0,2014,12,Medium,Comedy
Mom,English,"Comedy, Family",7.6,2013-09-23,Ended,76.0,2013,13,Medium,Comedy
The Affair,English,"Drama, Romance",7.7,2014-10-12,Ended,77.0,2014,12,Medium,Drama
Jane the Virgin,English,"Drama, Crime, Romance",7.3,2014-10-13,Ended,73.0,2014,12,Medium,Drama
Marry Me,English,Comedy,5.4,2014-10-14,Ended,54.0,2014,12,Low,Comedy
Two and a Half Men,English,Comedy,6.6,2003-09-22,Ended,66.0,2003,23,Medium,Comedy
About a Boy,English,"Drama, Comedy, Romance",6.5,2014-02-22,Ended,65.0,2014,12,Medium,Drama
The Millers,English,Comedy,6.2,2013-10-03,Ended,62.0,2013,13,Medium,Comedy
Elementary,English,"Drama, Crime, Mystery",8.3,2012-09-27,Ended,83.0,2012,14,High,Drama
Heroes,English,"Drama, Action, Science-Fiction",7.7,2006-09-25,Ended,77.0,2006,20,Medium,Drama
The McCarthys,English,"Comedy, Family",6.8,2014-10-30,Ended,68.0,2014,12,Medium,Comedy
Cristela,English,"Comedy, Legal",7.0,2014-10-10,Ended,70.0,2014,12,Medium,Comedy
The Leftovers,English,"Drama, Science-Fiction, Thriller",8.0,2014-06-29,Ended,80.0,2014,12,High,Drama
Girls,English,"Drama, Romance",6.4,2012-04-15,Ended,64.0,2012,14,Medium,Drama
Looking,English,"Drama, Comedy, Romance",7.2,2014-01-19,Ended,72.0,2014,12,Medium,Drama
Getting On,English,"Comedy, Medical",6.9,2013-11-24,Ended,69.0,2013,13,Medium,Comedy
Veep,English,Comedy,7.8,2012-04-22,Ended,78.0,2012,14,Medium,Comedy
Silicon Valley,English,Comedy,8.4,2014-04-06,Ended,84.0,2014,12,High,Comedy
The Comeback,English,Comedy,7.9,2005-06-05,Running,79.0,2005,21,Medium,Comedy
House of Lies,English,"Drama, Comedy",7.9,2012-01-08,Ended,79.0,2012,14,Medium,Drama
Episodes,English,Comedy,7.8,2011-01-09,Ended,78.0,2011,15,Medium,Comedy
Nurse Jackie,English,"Drama, Comedy",7.8,2009-06-08,Ended,78.0,2009,17,Medium,Drama
Web Therapy,English,Comedy,7.1,2011-07-19,Ended,71.0,2011,15,Medium,Comedy
Masters of Sex,English,"Drama, Romance, History",7.3,2013-09-29,Ended,73.0,2013,13,Medium,Drama
Shameless,English,"Drama, Comedy, Family",8.5,2011-01-09,Ended,85.0,2011,15,High,Drama
The Newsroom,English,Drama,8.4,2012-06-24,Ended,84.0,2012,14,High,Drama
Ray Donovan,English,"Drama, Action, Crime",8.1,2013-06-30,Ended,81.0,2013,13,High,Drama
Sanctuary,English,"Drama, Adventure, Science-Fiction",8.0,2008-10-03,Ended,80.0,2008,18,High,Drama
Beauty & the Beast,English,"Action, Romance, Science-Fiction",7.3,2012-10-11,Ended,73.0,2012,14,Medium,Action
Twin Peaks,English,"Crime, Mystery, Supernatural",8.0,1990-04-08,Ended,80.0,1990,36,High,Crime
The Americans,English,"Drama, Espionage",8.5,2013-01-30,Ended,85.0,2013,13,High,Drama
Fringe,English,"Drama, Action, Science-Fiction",8.6,2008-09-09,Ended,86.0,2008,18,High,Drama
State of Affairs,English,"Drama, Thriller",6.5,2014-11-17,Ended,65.0,2014,12,Medium,Drama
Weeds,English,"Drama, Comedy, Crime",7.9,2005-08-07,Ended,79.0,2005,21,Medium,Drama
Dexter,English,"Drama, Crime, Mystery",8.4,2006-10-01,Ended,84.0,2006,20,High,Drama
Carnivàle,English,"Drama, Fantasy, Horror",8.0,2003-09-14,Ended,80.0,2003,23,High,Drama
Human Target,English,"Action, Adventure, Crime",8.0,2010-01-17,Ended,80.0,2010,16,High,Action
Banshee,English,"Drama, Action, Crime",8.6,2013-01-11,Ended,86.0,2013,13,High,Drama
Bionic Woman,English,"Action, Science-Fiction",6.4,2007-09-26,Ended,64.0,2007,19,Medium,Action
Battlestar Galactica,English,"Drama, Science-Fiction, War",8.7,2003-12-08,Ended,87.0,2003,23,High,Drama
24,English,"Drama, Action, Thriller",8.3,2001-11-06,Ended,83.0,2001,25,High,Drama
Chuck,English,"Drama, Comedy, Action",8.2,2007-09-24,Ended,82.0,2007,19,High,Drama
Breaking Bad,English,"Drama, Crime, Thriller",9.2,2008-01-20,Ended,92.0,2008,18,High,Drama
Orange Is the New Black,English,"Drama, Comedy, Crime",7.9,2013-07-11,Ended,79.0,2013,13,Medium,Drama
How I Met Your Mother,English,"Drama, Comedy, Romance",7.9,2005-09-19,Ended,79.0,2005,21,Medium,Drama
Suits,English,"Drama, Legal",8.1,2011-06-23,Ended,81.0,2011,15,High,Drama
Parks and Recreation,English,Comedy,8.2,2009-04-09,Ended,82.0,2009,17,High,Comedy
House of Cards,English,"Drama, Thriller",8.2,2013-02-01,Ended,82.0,2013,13,High,Drama
Teen Wolf,English,"Drama, Romance, Supernatural",8.1,2011-06-05,Ended,81.0,2011,15,High,Drama
Pretty Little Liars,English,"Romance, Thriller, Mystery",7.4,2010-06-08,Ended,74.0,2010,16,Medium,Romance
The Legend of Korra,English,"Action, Adventure, Fantasy",8.1,2012-04-14,Ended,81.0,2012,14,High,Action
The Wire,English,"Drama, Crime",8.8,2002-06-02,Ended,88.0,2002,24,High,Drama
Firefly,English,"Drama, Adventure, Science-Fiction",8.9,2002-09-20,Ended,89.0,2002,24,High,Drama
Extant,English,"Drama, Science-Fiction, Thriller",7.3,2014-07-09,Ended,73.0,2014,12,Medium,Drama
Black Sails,English,"Drama, Action, Adventure",8.4,2014-01-25,Ended,84.0,2014,12,High,Drama
Tyrant,English,"Drama, Thriller",7.8,2014-06-24,Ended,78.0,2014,12,Medium,Drama
BoJack Horseman,English,"Drama, Comedy",7.9,2014-08-22,Ended,79.0,2014,12,Medium,Drama
Salem,English,"Drama, Thriller, Supernatural",6.9,2014-04-20,Ended,69.0,2014,12,Medium,Drama
TURN: Washington's Spies,English,"Drama, War",7.9,2014-04-06,Ended,79.0,2014,12,Medium,Drama
Intelligence,English,"Action, Science-Fiction",6.6,2014-01-07,Ended,66.0,2014,12,Medium,Action
Believe,English,"Drama, Action, Fantasy",7.3,2014-03-10,Ended,73.0,2014,12,Medium,Drama
Star-Crossed,English,"Drama, Romance, Science-Fiction",6.9,2014-02-17,Ended,69.0,2014,12,Medium,Drama
Crisis,English,"Drama, Action, Thriller",7.1,2014-03-16,Ended,71.0,2014,12,Medium,Drama
Halt and Catch Fire,English,Drama,8.1,2014-06-01,Ended,81.0,2014,12,High,Drama
Hello Ladies,English,Comedy,6.5,2013-09-29,Ended,65.0,2013,13,Medium,Comedy
Dads,English,Comedy,5.1,2013-09-17,Ended,51.0,2013,13,Low,Comedy
Hannibal,English,"Drama, Crime, Horror",8.2,2013-04-04,Ended,82.0,2013,13,High,Drama
Bates Motel,English,"Drama, Horror, Thriller",8.0,2013-03-18,Ended,80.0,2013,13,High,Drama
The Following,English,"Drama, Crime, Thriller",6.9,2013-01-21,Ended,69.0,2013,13,Medium,Drama
Da Vinci's Demons,English,"Drama, Horror",8.0,2013-04-12,Ended,80.0,2013,13,High,Drama
The Fosters,English,"Drama, Family, Romance",7.5,2013-06-03,Ended,75.0,2013,13,Medium,Drama
Mistresses,English,"Drama, Romance",7.6,2013-06-03,Ended,76.0,2013,13,Medium,Drama
The Tomorrow People,English,"Action, Science-Fiction",7.3,2013-10-09,Ended,73.0,2013,13,Medium,Action
Devious Maids,English,"Drama, Crime, Mystery",7.6,2013-06-23,Ended,76.0,2013,13,Medium,Drama
Almost Human,English,"Drama, Crime, Science-Fiction",7.7,2013-11-17,Ended,77.0,2013,13,Medium,Drama
The Carrie Diaries,English,"Drama, Comedy, Romance",6.5,2013-01-14,Ended,65.0,2013,13,Medium,Drama
Stargate SG·1,English,"Action, Adventure, Science-Fiction",8.8,1997-07-27,Ended,88.0,1997,29,High,Action
Graceland,English,"Drama, Action, Crime",7.3,2013-06-06,Ended,73.0,2013,13,Medium,Drama
Stargate Atlantis,English,"Action, Adventure, Science-Fiction",8.8,2004-07-16,Ended,88.0,2004,22,High,Action
Stargate Universe,English,"Action, Adventure, Science-Fiction",8.2,2009-10-02,Ended,82.0,2009,17,High,Action
The Chair,English,Unknown,7.6,2014-09-06,Ended,76.0,2014,12,Low,Unknown
Survivor's Remorse,English,"Drama, Comedy, Sports",6.6,2014-10-04,Ended,66.0,2014,12,Medium,Drama
Doctor Who,English,"Drama, Adventure, Science-Fiction",8.3,2005-03-26,Ended,83.0,2005,21,High,Drama
666 Park Avenue,English,"Drama, Mystery, Supernatural",6.6,2012-09-30,Ended,66.0,2012,14,Medium,Drama
Alcatraz,English,"Drama, Science-Fiction, Thriller",7.0,2012-01-16,Ended,70.0,2012,14,Medium,Drama
The Gates,English,"Drama, Crime, Supernatural",7.2,2010-06-20,Ended,72.0,2010,16,Medium,Drama
Kingdom,English,"Drama, Family, Sports",7.9,2014-10-08,Ended,79.0,2014,12,Medium,Drama
American Dad!,English,"Comedy, Family",7.4,2005-02-06,Running,74.0,2005,21,Medium,Comedy
Rick and Morty,English,"Comedy, Adventure, Science-Fiction",8.8,2013-12-02,Running,88.0,2013,13,High,Comedy
Hostages,English,"Drama, Thriller",6.4,2013-09-23,Ended,64.0,2013,13,Medium,Drama
Being Human,English,"Drama, Horror, Romance",7.5,2011-01-17,Ended,75.0,2011,15,Medium,Drama
Alphas,English,"Drama, Science-Fiction, Supernatural",7.5,2011-07-11,Ended,75.0,2011,15,Medium,Drama
Crossing Lines,English,"Drama, Action, Crime",7.6,2013-06-23,Ended,76.0,2013,13,Medium,Drama
Rectify,English,"Drama, Crime",8.0,2013-04-22,Ended,80.0,2013,13,High,Drama
Happyland,English,"Drama, Comedy",7.0,2014-09-30,Ended,70.0,2014,12,Medium,Drama
Twisted,English,"Drama, Thriller, Mystery",7.3,2013-03-19,Ended,73.0,2013,13,Medium,Drama
Ravenswood,English,"Drama, Horror",7.1,2013-10-22,Ended,71.0,2013,13,Medium,Drama
The Crazy Ones,English,Comedy,7.1,2013-09-26,Ended,71.0,2013,13,Medium,Comedy
Mob City,English,"Drama, Crime",7.3,2013-12-04,Ended,73.0,2013,13,Medium,Drama
Last Resort,English,"Drama, Action, War",7.3,2012-09-27,Ended,73.0,2012,14,Medium,Drama
The Neighbors,English,"Comedy, Science-Fiction",6.9,2012-09-26,Ended,69.0,2012,14,Medium,Comedy
Go On,English,Comedy,7.2,2012-08-08,Ended,72.0,2012,14,Medium,Comedy
Vegas,English,Drama,7.9,2012-09-25,Ended,79.0,2012,14,Medium,Drama
The River,English,"Drama, Horror, Supernatural",6.9,2012-02-07,Ended,69.0,2012,14,Medium,Drama
Awake,English,"Drama, Fantasy, Thriller",7.4,2012-03-01,Ended,74.0,2012,14,Medium,Drama
Missing,English,"Drama, Action, Thriller",7.0,2012-03-15,Ended,70.0,2012,14,Medium,Drama
The New Normal,English,Comedy,7.1,2012-09-10,Ended,71.0,2012,14,Medium,Comedy
GCB,English,"Drama, Comedy, Romance",7.2,2012-03-04,Ended,72.0,2012,14,Medium,Drama
Revolution,English,"Action, Adventure, Science-Fiction",7.6,2012-09-17,Ended,76.0,2012,14,Medium,Action
Dallas,English,"Drama, Family",6.5,2012-06-13,Ended,65.0,2012,14,Medium,Drama
Anger Management,English,Comedy,6.4,2012-06-28,Ended,64.0,2012,14,Medium,Comedy
Cops,English,"Action, Crime",7.1,1989-03-11,Running,71.0,1989,37,Medium,Action
Benched,English,"Comedy, Legal",7.2,2014-10-28,Ended,72.0,2014,12,Medium,Comedy
The Great Fire,English,Drama,7.0,2014-10-16,Ended,70.0,2014,12,Medium,Drama
Conan,English,Comedy,7.7,2010-11-08,Ended,77.0,2010,16,Medium,Comedy
Strange Empire,English,"Drama, Western",7.2,2014-10-06,Ended,72.0,2014,12,Medium,Drama
Town of the Living Dead,English,Unknown,7.6,2014-10-07,Ended,76.0,2014,12,Low,Unknown
Long Shadow,English,"War, History",7.6,2014-09-24,Ended,76.0,2014,12,Low,War
The Colbert Report,English,Comedy,7.2,2005-10-17,Ended,72.0,2005,21,Medium,Comedy
Transporter: The Series,English,"Action, Adventure, Crime",7.3,2013-01-04,Ended,73.0,2013,13,Medium,Action
The Daily Show with Jon Stewart,English,Comedy,8.0,1999-01-11,Ended,80.0,1999,27,High,Comedy
Kirby Buckets,English,Comedy,7.6,2014-10-20,Ended,76.0,2014,12,Low,Comedy
Downton Abbey,English,"Drama, Family, Romance",8.7,2010-09-26,Ended,87.0,2010,16,High,Drama
Girl Meets World,English,"Drama, Comedy, Family",7.7,2014-06-27,Ended,77.0,2014,12,Medium,Drama
Hell's Kitchen,English,Food,6.8,2005-05-30,To Be Determined,68.0,2005,21,Medium,Food
World Series of Poker,English,Sports,7.8,2006-08-22,Running,78.0,2006,20,Medium,Sports
Anthony Bourdain: Parts Unknown,English,"Food, Travel",7.7,2013-04-14,Ended,77.0,2013,13,Medium,Food
Comic Book Men,English,Comedy,7.4,2012-02-12,Ended,74.0,2012,14,Medium,Comedy
Key & Peele,English,Comedy,7.5,2012-01-31,Ended,75.0,2012,14,Medium,Comedy
Glue,English,Drama,7.7,2014-09-15,Ended,77.0,2014,12,Medium,Drama
Southern Justice,English,Crime,7.6,2014-04-15,Ended,76.0,2014,12,Low,Crime
Tosh.0,English,Comedy,6.2,2009-06-04,Ended,62.0,2009,17,Medium,Comedy
The Soup,English,Comedy,4.5,2004-07-30,Ended,45.0,2004,22,Low,Comedy
The Driver,English,"Drama, Crime",6.9,2014-09-23,Ended,69.0,2014,12,Medium,Drama
Last Week Tonight with John Oliver,English,Comedy,7.9,2014-04-27,Running,79.0,2014,12,Medium,Comedy
The Late Show with David Letterman,English,Comedy,7.4,1993-08-30,Ended,74.0,1993,33,Medium,Comedy
Mount Pleasant,English,"Drama, Comedy",7.6,2011-08-24,Ended,76.0,2011,15,Low,Drama
Lovesick,English,"Comedy, Romance",7.3,2014-10-02,Ended,73.0,2014,12,Medium,Comedy
Package Deal,English,Comedy,6.2,2013-06-18,Ended,62.0,2013,13,Medium,Comedy
Peaky Blinders,English,"Drama, Crime, History",8.5,2013-09-12,Ended,85.0,2013,13,High,Drama
The League,English,"Comedy, Sports",7.6,2009-10-29,Ended,76.0,2009,17,Medium,Comedy
Saving Hope,English,"Drama, Fantasy, Medical",7.8,2012-06-07,Ended,78.0,2012,14,Medium,Drama
Talking Dead,English,Unknown,6.2,2011-10-17,To Be Determined,62.0,2011,15,Medium,Unknown
Black Dynamite,English,"Comedy, Action",8.0,2012-07-15,Ended,80.0,2012,14,High,Comedy
Bad Education,English,Comedy,6.5,2012-08-14,To Be Determined,65.0,2012,14,Medium,Comedy
Ali G: Rezurection,English,Comedy,6.0,2014-02-26,Ended,60.0,2014,12,Medium,Comedy
New Tricks,English,"Drama, Comedy, Crime",7.8,2004-04-01,Ended,78.0,2004,22,Medium,Drama
Brickleberry,English,Comedy,7.7,2012-09-25,Ended,77.0,2012,14,Medium,Comedy
Face Off,English,Unknown,8.0,2011-01-26,Ended,80.0,2011,15,High,Unknown
Real Time with Bill Maher,English,Unknown,5.3,2003-02-21,Running,53.0,2003,23,Low,Unknown
Franklin & Bash,English,"Drama, Comedy, Legal",7.0,2011-06-01,Ended,70.0,2011,15,Medium,Drama
Mock the Week,English,Comedy,7.5,2005-06-05,Ended,75.0,2005,21,Medium,Comedy
Awkward.,English,"Drama, Comedy, Romance",7.3,2011-07-19,Ended,73.0,2011,15,Medium,Drama
Faking It,English,"Comedy, Romance",7.5,2014-04-22,Ended,75.0,2014,12,Medium,Comedy
Mr. Selfridge,English,Drama,7.6,2013-01-06,Ended,76.0,2013,13,Medium,Drama
"Signed, Sealed, Delivered",English,"Romance, Mystery",7.8,2013-10-12,To Be Determined,78.0,2013,13,Medium,Romance
Happy Valley,English,"Drama, Crime",8.0,2014-04-29,Ended,80.0,2014,12,High,Drama
Kroll Show,English,Comedy,7.6,2013-01-16,Ended,76.0,2013,13,Low,Comedy
American Idol,English,Music,5.1,2002-06-11,Running,51.0,2002,24,Low,Music
America's Got Talent,English,Music,5.7,2006-06-21,Running,57.0,2006,20,Low,Music
Adventure Time,English,"Comedy, Adventure, Fantasy",7.8,2008-12-07,Ended,78.0,2008,18,Medium,Comedy
Motive,English,"Drama, Crime, Mystery",7.8,2013-02-03,Ended,78.0,2013,13,Medium,Drama
The NEW Celebrity Apprentice,English,Unknown,4.5,2008-01-03,Ended,45.0,2008,18,Low,Unknown
Newswipe,English,Comedy,7.6,2009-03-25,Ended,76.0,2009,17,Low,Comedy
The Night Shift,English,"Drama, Action, Medical",8.0,2014-05-27,Ended,80.0,2014,12,High,Drama
Top Chef,English,Food,7.4,2006-03-08,Running,74.0,2006,20,Medium,Food
Top Gear,English,Unknown,5.3,2010-11-21,Ended,53.0,2010,16,Low,Unknown
Undateable,English,"Comedy, Romance",7.8,2014-05-29,Ended,78.0,2014,12,Medium,Comedy
Chasing Life,English,"Drama, Romance, Medical",7.8,2014-06-10,Ended,78.0,2014,12,Medium,Drama
Power,English,"Drama, Crime",7.9,2014-06-07,Ended,79.0,2014,12,Medium,Drama
Murder in the First,English,"Drama, Crime, Mystery",7.8,2014-06-09,Ended,78.0,2014,12,Medium,Drama
Hart of Dixie,English,"Drama, Comedy, Romance",7.8,2011-09-26,Ended,78.0,2011,15,Medium,Drama
Trailer Park Boys,English,"Comedy, Crime",7.6,2001-04-22,Running,76.0,2001,25,Medium,Comedy
Deadbeat,English,"Comedy, Supernatural",6.7,2014-04-09,Ended,67.0,2014,12,Medium,Comedy
The Venture Bros.,English,"Comedy, Adventure",8.2,2003-02-16,Ended,82.0,2003,23,High,Comedy
Black Mirror,English,"Drama, Science-Fiction, Thriller",8.4,2011-12-04,Running,84.0,2011,15,High,Drama
Broadchurch,English,"Drama, Crime, Mystery",8.4,2013-03-04,Ended,84.0,2013,13,High,Drama
Bluestone 42,English,"Drama, Comedy, War",7.1,2013-03-05,Ended,71.0,2013,13,Medium,Drama
Matador,English,"Drama, Action",6.9,2014-07-15,Ended,69.0,2014,12,Medium,Drama
Rogue,English,"Action, Crime",7.6,2013-04-03,Ended,76.0,2013,13,Medium,Action
Married,English,"Drama, Comedy, Romance",5.1,2014-07-17,Ended,51.0,2014,12,Low,Drama
Satisfaction,English,"Drama, Comedy, Romance",7.6,2014-07-17,Ended,76.0,2014,12,Medium,Drama
You're the Worst,English,"Drama, Comedy, Romance",7.7,2014-07-17,Ended,77.0,2014,12,Medium,Drama
Plebs,English,Comedy,7.3,2013-03-25,Ended,73.0,2013,13,Medium,Comedy
VICE,English,"Drama, Crime",7.6,2013-04-05,Ended,76.0,2013,13,Medium,Drama
Archer,English,"Comedy, Action, Espionage",8.3,2009-09-17,Ended,83.0,2009,17,High,Comedy
The Missing,English,"Drama, Crime, Thriller",8.0,2014-10-28,Ended,80.0,2014,12,High,Drama
Vicious,English,Comedy,8.0,2013-04-29,Ended,80.0,2013,13,High,Comedy
Community,English,Comedy,8.3,2009-09-17,Ended,83.0,2009,17,High,Comedy
Cougar Town,English,Comedy,7.4,2009-09-23,Ended,74.0,2009,17,Medium,Comedy
The Fall,English,"Drama, Crime, Thriller",8.0,2013-05-13,Ended,80.0,2013,13,High,Drama
Arrested Development,English,"Comedy, Family",8.2,2003-11-02,Ended,82.0,2003,23,High,Comedy
Hit the Floor,English,"Drama, Romance, Sports",7.2,2013-05-27,Ended,72.0,2013,13,Medium,Drama
White Collar,English,"Drama, Comedy, Crime",8.2,2009-10-23,Ended,82.0,2009,17,High,Drama
MasterChef,English,Food,6.8,2010-07-27,Running,68.0,2010,16,Medium,Food
Being Mary Jane,English,"Drama, Family",7.8,2013-07-02,Ended,78.0,2013,13,Medium,Drama
Undercover Boss,English,Unknown,6.1,2010-02-07,Ended,61.0,2010,16,Medium,Unknown
Inside Amy Schumer,English,Comedy,5.6,2013-04-30,Ended,56.0,2013,13,Low,Comedy
Midsomer Murders,English,"Drama, Crime, Mystery",7.9,1998-03-22,Running,79.0,1998,28,Medium,Drama
Shark Tank,English,Unknown,6.7,2009-08-09,Running,67.0,2009,17,Medium,Unknown
On the Menu,English,Food,7.6,2014-10-03,Ended,76.0,2014,12,Low,Food
Deal With It,English,Unknown,7.6,2013-07-17,Ended,76.0,2013,13,Low,Unknown
Alpha House,English,"Drama, Comedy",7.1,2013-04-19,Ended,71.0,2013,13,Medium,Drama
The Game,English,"Drama, Comedy, Sports",7.6,2006-10-01,Ended,76.0,2006,20,Low,Drama
Drunk History,English,"Comedy, History",6.2,2013-07-09,Ended,62.0,2013,13,Medium,Comedy
Sherlock,English,"Drama, Crime, Mystery",8.9,2010-07-25,Ended,89.0,2010,16,High,Drama
Marvel's Agent Carter,English,"Action, Adventure, Science-Fiction",8.0,2015-01-06,Ended,80.0,2015,11,High,Action
Ramsay's Costa Del Nightmares,English,Food,6.7,2014-09-23,Ended,67.0,2014,12,Medium,Food
Secrets and Lies,English,"Drama, Crime, Thriller",7.4,2015-03-01,Ended,74.0,2015,11,Medium,Drama
American Crime,English,"Drama, Crime",7.8,2015-03-05,Ended,78.0,2015,11,Medium,Drama
The Librarians,English,"Action, Adventure, Supernatural",7.2,2014-12-07,Ended,72.0,2014,12,Medium,Action
Aquarius,English,"Drama, Crime",7.0,2015-05-28,Ended,70.0,2015,11,Medium,Drama
Louie,English,"Drama, Comedy",7.9,2010-06-29,Ended,79.0,2010,16,Medium,Drama
Atlantis,English,"Drama, Adventure, Fantasy",7.0,2013-09-28,Ended,70.0,2013,13,Medium,Drama
Rizzoli & Isles,English,"Drama, Crime",8.0,2010-07-12,Ended,80.0,2010,16,High,Drama
Covert Affairs,English,"Drama, Action, Crime",7.2,2010-07-13,Ended,72.0,2010,16,Medium,Drama
Hot in Cleveland,English,Comedy,7.8,2010-06-16,Ended,78.0,2010,16,Medium,Comedy
It's Always Sunny in Philadelphia,English,Comedy,8.1,2005-08-04,Running,81.0,2005,21,High,Comedy
Melissa & Joey,English,"Comedy, Family",7.6,2010-08-17,Ended,76.0,2010,16,Medium,Comedy
The Wrong Mans,English,"Comedy, Crime, Thriller",7.7,2013-09-24,Ended,77.0,2013,13,Medium,Comedy
Last Comic Standing,English,Comedy,7.6,2003-06-10,Ended,76.0,2003,23,Low,Comedy
Baby Daddy,English,"Comedy, Family",7.8,2012-06-20,Ended,78.0,2012,14,Medium,Comedy
The Exes,English,Comedy,7.2,2011-11-30,Ended,72.0,2011,15,Medium,Comedy
Line of Duty,English,"Drama, Crime, Thriller",8.6,2012-06-26,Running,86.0,2012,14,High,Drama
Ground Floor,English,Comedy,7.5,2013-11-14,Ended,75.0,2013,13,Medium,Comedy
Mike & Molly,English,"Comedy, Family",7.4,2010-09-20,Ended,74.0,2010,16,Medium,Comedy
Man Down,English,Comedy,8.0,2013-10-18,Ended,80.0,2013,13,High,Comedy
Perception,English,"Drama, Crime",7.8,2012-07-09,Ended,78.0,2012,14,Medium,Drama
Spartacus: Gods of the Arena,English,"Drama, Action, History",8.4,2011-01-21,Ended,84.0,2011,15,High,Drama
TripTank,English,Comedy,6.4,2014-04-02,Ended,64.0,2014,12,Medium,Comedy
Ripper Street,English,"Drama, Crime, Mystery",8.1,2012-12-30,Ended,81.0,2012,14,High,Drama
Saturday Night Live,English,"Comedy, Music",6.0,1975-10-11,Running,60.0,1975,51,Medium,Comedy
Switched at Birth,English,"Drama, Family",7.7,2011-06-06,Ended,77.0,2011,15,Medium,Drama
Late Night with Seth Meyers,English,Comedy,4.4,2014-02-24,Running,44.0,2014,12,Low,Comedy
Single Ladies,English,"Drama, Romance",7.6,2011-05-30,Ended,76.0,2011,15,Low,Drama
The After,English,"Drama, Science-Fiction, Mystery",7.7,2014-02-06,Ended,77.0,2014,12,Medium,Drama
