Title,Language,Genres,Rating,Premiered,Status,Rating_Percent,Release_Year,Show_Age,Popularity,Main_Genre
Clone,English,Comedy,7.6,2008-11-17,Ended,76.0,2008,18,Low,Comedy
Cosmos,English,"Mystery, Nature, History",8.5,1980-09-28,Ended,85.0,1980,46,High,Mystery
Dungeons & Dragons,English,"Adventure, Fantasy",6.4,1983-09-17,Ended,64.0,1983,43,Medium,Adventure
Journeyman,English,"Drama, Science-Fiction, Mystery",7.5,2007-09-24,Ended,75.0,2007,19,Medium,Drama
Neverland,English,"Adventure, Fantasy",6.6,2011-12-04,Ended,66.0,2011,15,Medium,Adventure
Neverwhere,English,"Drama, Fantasy",5.9,1996-09-12,Ended,59.0,1996,30,Low,Drama
Planet of the Apes,English,"Drama, Adventure, Science-Fiction",6.9,1974-09-13,Ended,69.0,1974,52,Medium,Drama
ThunderCats,English,"Action, Adventure",7.7,2011-07-29,Ended,77.0,2011,15,Medium,Action
The Time Tunnel,English,"Adventure, Science-Fiction",7.8,1966-09-09,Ended,78.0,1966,60,Medium,Adventure
Tron: Uprising,English,"Action, Adventure, Science-Fiction",7.8,2012-05-18,Ended,78.0,2012,14,Medium,Action
Party Down,English,Comedy,7.2,2009-03-20,Ended,72.0,2009,17,Medium,Comedy
Impractical Jokers,English,Comedy,7.6,2011-12-15,Running,76.0,2011,15,Medium,Comedy
Gates,English,Comedy,7.6,2012-08-14,Ended,76.0,2012,14,Low,Comedy
Eastbound & Down,English,"Drama, Comedy, Sports",7.3,2009-02-15,Ended,73.0,2009,17,Medium,Drama
Celebrity Motor Homes,English,Unknown,7.6,2011-12-22,Ended,76.0,2011,15,Low,Unknown
Extra,English,Unknown,7.6,1994-09-05,Running,76.0,1994,32,Low,Unknown
Mecum Dealmakers,English,Unknown,7.6,2014-07-31,Ended,76.0,2014,12,Low,Unknown
Beat Bobby Flay,English,Food,5.6,2013-08-25,Running,56.0,2013,13,Low,Food
A Stranger in My Home,English,"Crime, Mystery",7.6,2013-10-13,Ended,76.0,2013,13,Low,Crime
Kröd Mändoon and the Flaming Sword of Fire,English,"Comedy, Action, Fantasy",6.6,2009-04-09,Ended,66.0,2009,17,Medium,Comedy
Life As We Know It,English,"Drama, Comedy",6.3,2004-10-07,Ended,63.0,2004,22,Medium,Drama
Seven Ages of Rock,English,Music,7.6,2007-05-19,Ended,76.0,2007,19,Low,Music
The Young Ones,English,Comedy,7.9,1982-11-09,Ended,79.0,1982,44,Medium,Comedy
The Net,English,Thriller,6.5,1998-07-19,Ended,65.0,1998,28,Medium,Thriller
New Amsterdam,English,"Drama, Crime, Fantasy",7.8,2008-03-04,Ended,78.0,2008,18,Medium,Drama
The Nine,English,"Drama, Mystery",7.5,2006-10-04,Ended,75.0,2006,20,Medium,Drama
No Heroics,English,"Comedy, Fantasy",7.6,2008-09-18,Ended,76.0,2008,18,Low,Comedy
North & South,English,"Drama, Romance",8.0,2004-11-14,Ended,80.0,2004,22,High,Drama
North and South,English,"Drama, History",8.2,1985-11-03,Ended,82.0,1985,41,High,Drama
October Road,English,Drama,7.2,2007-03-15,Ended,72.0,2007,19,Medium,Drama
Once and Again,English,"Drama, Family, Romance",7.8,1999-09-21,Ended,78.0,1999,27,Medium,Drama
Out of Practice,English,Comedy,7.5,2005-09-19,Ended,75.0,2005,21,Medium,Comedy
Parade's End,English,"Drama, War, History",7.8,2012-08-24,Ended,78.0,2012,14,Medium,Drama
The Paradise,English,"Drama, Romance, History",7.8,2012-09-25,Ended,78.0,2012,14,Medium,Drama
Parker Lewis Can't Lose,English,Comedy,8.0,1990-09-02,Ended,80.0,1990,36,High,Comedy
Party of Five,English,"Drama, Family",7.0,1994-09-12,Ended,70.0,1994,32,Medium,Drama
Picket Fences,English,"Drama, Family",5.3,1992-09-18,Ended,53.0,1992,34,Low,Drama
Agatha Christie's Poirot,English,"Drama, Crime, Mystery",8.2,1989-01-08,Ended,82.0,1989,37,High,Drama
Maison Close,French,Drama,7.6,2010-10-04,Ended,76.0,2010,16,Low,Drama
Les Revenants,French,"Drama, Fantasy, Horror",7.6,2012-11-26,Ended,76.0,2012,14,Medium,Drama
Les Rois Maudits,French,"Drama, History",7.6,2005-11-07,Ended,76.0,2005,21,Low,Drama
Mysteries at the Castle,English,"Mystery, History",7.6,2014-01-19,Ended,76.0,2014,12,Low,Mystery
Branson Famous,English,Music,7.6,2014-12-29,Ended,76.0,2014,12,Low,Music
Big Women: Big Love,English,Romance,7.6,2015-01-01,Ended,76.0,2015,11,Low,Romance
Child Genius,English,Unknown,7.6,2015-01-06,Ended,76.0,2015,11,Low,Unknown
Open Heart,English,"Drama, Mystery, Medical",7.6,2015-01-20,Ended,76.0,2015,11,Low,Drama
Nightwatch,English,Medical,7.7,2015-01-22,To Be Determined,77.0,2015,11,Medium,Medical
The Slap,English,Drama,7.1,2015-02-12,Ended,71.0,2015,11,Medium,Drama
Good Witch,English,"Family, Romance, Mystery",8.0,2008-01-18,Ended,80.0,2008,18,High,Family
American Odyssey,English,"Action, Adventure, Thriller",6.8,2015-04-05,Ended,68.0,2015,11,Medium,Action
Wayward Pines,English,"Drama, Science-Fiction, Mystery",7.5,2015-05-14,Ended,75.0,2015,11,Medium,Drama
Museum Men,English,Unknown,7.6,2014-11-29,Ended,76.0,2014,12,Low,Unknown
Sex Sent Me to the ER,English,Unknown,7.6,2013-12-28,Ended,76.0,2013,13,Low,Unknown
I'd Kill for You,English,"Drama, Crime, Mystery",7.6,2013-11-02,Ended,76.0,2013,13,Low,Drama
Railroad Alaska,English,"Action, Adventure",7.6,2013-11-16,Ended,76.0,2013,13,Low,Action
America Unearthed,English,History,7.7,2012-12-21,Ended,77.0,2012,14,Medium,History
Fatal Vows,English,"Drama, Crime, Thriller",6.2,2012-11-17,Ended,62.0,2012,14,Medium,Drama
Extreme Escapes,English,Unknown,7.6,2014-11-29,Ended,76.0,2014,12,Low,Unknown
Caught on Camera with Nick Cannon,English,Unknown,7.6,2014-12-19,Ended,76.0,2014,12,Low,Unknown
Say Yes to the Dress: Since the Big Day,English,Unknown,7.6,2011-10-14,Ended,76.0,2011,15,Low,Unknown
Wives with Knives,English,Unknown,7.6,2012-11-23,Running,76.0,2012,14,Low,Unknown
"Something Borrowed, Something New",English,Unknown,7.6,2013-02-08,Ended,76.0,2013,13,Low,Unknown
Brad Meltzer's Lost History,English,History,7.6,2014-10-31,Ended,76.0,2014,12,Low,History
Who the (Bleep) Did I Marry?,English,Crime,6.3,2010-08-04,To Be Determined,63.0,2010,16,Medium,Crime
Finding Bigfoot,English,Unknown,7.6,2011-05-30,Ended,76.0,2011,15,Low,Unknown
Alaska: The Last Frontier,English,Adventure,7.9,2011-12-29,Ended,79.0,2011,15,Medium,Adventure
Most Evil,English,Unknown,6.8,2006-07-13,Ended,68.0,2006,20,Medium,Unknown
A Haunting,English,"Drama, Horror, Mystery",7.9,2005-10-28,Ended,79.0,2005,21,Medium,Drama
Cutthroat Kitchen,English,Food,6.8,2013-08-11,Ended,68.0,2013,13,Medium,Food
Alaska Off-Road Warriors,English,"Adventure, Sports",7.6,2014-11-30,Ended,76.0,2014,12,Low,Adventure
Bizarre Foods with Andrew Zimmern,English,"Food, Travel",7.0,2007-02-26,Ended,70.0,2007,19,Medium,Food
Street Outlaws: Full Throttle,English,Unknown,7.6,2013-06-21,Ended,76.0,2013,13,Low,Unknown
The Little Couple,English,Unknown,7.3,2009-05-26,Ended,73.0,2009,17,Medium,Unknown
A Crime to Remember,English,"Drama, Crime, Mystery",6.9,2013-11-12,Ended,69.0,2013,13,Medium,Drama
Suave Says,English,Unknown,7.6,2014-12-03,Ended,76.0,2014,12,Low,Unknown
Little Women: LA,English,Drama,4.2,2014-05-27,Ended,42.0,2014,12,Low,Drama
The Millionaire Matchmaker,English,Unknown,7.6,2008-01-22,Ended,76.0,2008,18,Low,Unknown
Alaskan Bush People,English,"Adventure, Nature",6.6,2014-05-06,Ended,66.0,2014,12,Medium,Adventure
The Curse of Oak Island,English,"Adventure, Mystery, Nature",6.8,2014-01-05,Running,68.0,2014,12,Medium,Adventure
How to Make It in America,English,"Drama, Comedy",7.6,2010-02-14,Ended,76.0,2010,16,Medium,Drama
Mixology,English,"Comedy, Romance",7.3,2014-02-26,Ended,73.0,2014,12,Medium,Comedy
Almost Royal,English,Comedy,6.7,2014-06-21,Ended,67.0,2014,12,Medium,Comedy
Cleaners,English,"Action, Crime, Thriller",6.5,2013-10-03,Ended,65.0,2013,13,Medium,Action
Come Fly with Me,English,"Comedy, Travel",7.9,2010-12-25,Ended,79.0,2010,16,Medium,Comedy
Hollands Hoop,Dutch,"Drama, Crime",7.6,2014-09-27,Ended,76.0,2014,12,Low,Drama
Bosch,English,"Drama, Crime, Mystery",8.5,2015-02-13,Ended,85.0,2015,11,High,Drama
The Defenders,English,"Drama, Comedy, Legal",6.6,2010-09-22,Ended,66.0,2010,16,Medium,Drama
Family Tree,English,"Drama, Comedy",6.1,2013-05-12,Ended,61.0,2013,13,Medium,Drama
Wallander,English,"Drama, Crime",7.9,2008-11-30,Ended,79.0,2008,18,Medium,Drama
Super Fun Night,English,Comedy,6.9,2013-10-02,Ended,69.0,2013,13,Medium,Comedy
Sleeper Cell,English,"Drama, Crime, Espionage",7.9,2005-12-04,Ended,79.0,2005,21,Medium,Drama
"Unsere Mütter, unsere Väter",German,"Drama, Action, War",8.0,2013-03-17,Ended,80.0,2013,13,High,Drama
Red Widow,English,"Drama, Crime, Thriller",6.6,2013-03-03,Ended,66.0,2013,13,Medium,Drama
Profugos,Spanish,"Drama, Action, Crime",7.6,2011-09-04,Ended,76.0,2011,15,Low,Drama
Prime Suspect,English,"Drama, Crime, Thriller",6.7,2011-09-22,Ended,67.0,2011,15,Medium,Drama
Penoza,Dutch,"Drama, Crime",8.0,2010-09-12,Ended,80.0,2010,16,High,Drama
Paradox,English,"Drama, Science-Fiction",6.8,2009-11-24,Ended,68.0,2009,17,Medium,Drama
Outsourced,English,Comedy,7.9,2010-09-23,Ended,79.0,2010,16,Medium,Comedy
North America,English,Nature,7.6,2013-05-19,Ended,76.0,2013,13,Low,Nature
Nieuwe Buren,Dutch,Drama,7.6,2014-09-14,Ended,76.0,2014,12,Low,Drama
The Mob Doctor,English,"Drama, Medical",6.6,2012-09-17,Ended,66.0,2012,14,Medium,Drama
Low Winter Sun,English,"Drama, Crime",7.3,2013-08-11,Ended,73.0,2013,13,Medium,Drama
King & Maxwell,English,"Drama, Action, Crime",7.7,2013-06-10,Ended,77.0,2013,13,Medium,Drama
The Kill Point,English,"Drama, Action, Crime",6.6,2007-07-22,Ended,66.0,2007,19,Medium,Drama
The Kennedys,English,"Drama, History",7.7,2011-04-03,Ended,77.0,2011,15,Medium,Drama
Gang Related,English,"Drama, Action, Crime",6.9,2014-05-22,Ended,69.0,2014,12,Medium,Drama
Generation Kill,English,"Drama, War",7.9,2008-07-13,Ended,79.0,2008,18,Medium,Drama
Golden Boy,English,"Drama, Crime",7.1,2013-02-26,Ended,71.0,2013,13,Medium,Drama
Hit & Miss,English,"Drama, Action, Crime",7.8,2012-05-22,Ended,78.0,2012,14,Medium,Drama
Houdini,English,Drama,8.0,2014-09-01,Ended,80.0,2014,12,High,Drama
How to Live with Your Parents (for the Rest of Your Life),English,Comedy,6.3,2013-04-03,Ended,63.0,2013,13,Medium,Comedy
Ironside,English,"Drama, Action, Crime",7.7,2013-10-02,Ended,77.0,2013,13,Medium,Drama
The Jeff Dunham Show,English,Comedy,6.6,2009-10-22,Ended,66.0,2009,17,Medium,Comedy
Gooische Vrouwen,Dutch,"Drama, Romance",7.6,2005-10-30,Ended,76.0,2005,21,Low,Drama
Blossom,English,"Drama, Comedy, Family",7.4,1990-07-05,Ended,74.0,1990,36,Medium,Drama
The Brady Bunch,English,"Comedy, Family",7.3,1969-09-26,Ended,73.0,1969,57,Medium,Comedy
